Country Name;Country Code;2021
Aruba;ABW;180,00
Africa Eastern and Southern;AFE;14807043.228
Afghanistan;AFG;652860,00
Africa Western and Central;AFW;9045780,00
Angola;AGO;1246700,00
Albania;ALB;27400,00
Andorra;AND;470,00
Arab World;ARB;13081763.715
United Arab Emirates;ARE;71020,00
Argentina;ARG;2736690,00
Armenia;ARM;28470,00
American Samoa;ASM;200,00
Antigua and Barbuda;ATG;440,00
Australia;AUS;7692020,00
Austria;AUT;82520,00
Azerbaijan;AZE;82654,00
Burundi;BDI;25680,00
Belgium;BEL;30280,00
Benin;BEN;112760,00
Burkina Faso;BFA;273600,00
Bangladesh;BGD;130170,00
Bulgaria;BGR;108560,00
Bahrain;BHR;780,00
Bahamas; The;10010,00
Bosnia and Herzegovina;BIH;51200,00
Belarus;BLR;202980,00
Belize;BLZ;22810,00
Bermuda;BMU;54,00
Bolivia;BOL;1083300,00
Brazil;BRA;8358140,00
Barbados;BRB;430,00
Brunei Darussalam;BRN;5270,00
Bhutan;BTN;38140,00
Botswana;BWA;566730,00
Central African Republic;CAF;622980,00
Canada;CAN;8965590,00
Central Europe and the Baltics;CEB;1106266.4
Switzerland;CHE;39516.03
Channel Islands;CHI;198,00
Chile;CHL;743532,00
China;CHN;9424702.9
Cote d'Ivoire;CIV;318000,00
Cameroon;CMR;472710,00
Congo; Dem. Rep.;2267050,00
Congo; Rep.;341500,00
Colombia;COL;1109500,00
Comoros;COM;1861,00
Cabo Verde;CPV;4030,00
Costa Rica;CRI;51060,00
Caribbean small states;CSS;404850,00
Cuba;CUB;103800,00
Curacao;CUW;444,00
Cayman Islands;CYM;240,00
Cyprus;CYP;9240,00
Czech Republic;CZE;77200,00
Germany;DEU;349380,00
Djibouti;DJI;23180,00
Dominica;DMA;750,00
Denmark;DNK;40000,00
Dominican Republic;DOM;48310,00
Algeria;DZA;2381741,00
East Asia & Pacific (excluding high income);EAP;16019786.9
Early-demographic dividend;EAR;33317702.39
East Asia & Pacific;EAS;24502428.8
Europe & Central Asia (excluding high income);ECA;22396444.3
Europe & Central Asia;ECS;27447886.686
Ecuador;ECU;248360,00
Egypt; Arab Rep.;995450,00
Euro area;EMU;2682452.479
Eritrea;ERI;101000,00
Spain;ESP;499603.479
Estonia;EST;43470,00
Ethiopia;ETH;1129300.39
European Union;EUU;3999622.479
Fragile and conflict affected situations;FCS;19947735.228
Finland;FIN;303920,00
Fiji;FJI;18270,00
France;FRA;547557,00
Faroe Islands;FRO;1396,00
Micronesia; Fed. Sts.;700,00
Gabon;GAB;257670,00
United Kingdom;GBR;241930,00
Georgia;GEO;69490,00
Ghana;GHA;227540,00
Gibraltar;GIB;10,00
Guinea;GIN;245720,00
Gambia; The;10120,00
Guinea-Bissau;GNB;28120,00
Equatorial Guinea;GNQ;28050,00
Greece;GRC;128900,00
Grenada;GRD;340,00
Greenland;GRL;410450,00
Guatemala;GTM;107160,00
Guam;GUM;540,00
Guyana;GUY;196850,00
High income;HIC;35250135.286
Hong Kong SAR; China;1050,00
Honduras;HND;111890,00
Heavily indebted poor countries (HIPC);HPC;19357325.105
Croatia;HRV;56590,00
Haiti;HTI;27560,00
Hungary;HUN;91260,00
IBRD only;IBD;71071078.2
IDA & IBRD total;IBT;96060596.428
IDA total;IDA;24989518.228
IDA blend;IDB;4384525,00
Indonesia;IDN;1877519,00
IDA only;IDX;20604993.228
Isle of Man;IMN;570,00
India;IND;2973190,00
Not classified;INX;
Ireland;IRL;68890,00
Iran; Islamic Rep.;1628760,00
Iraq;IRQ;434128,00
Iceland;ISL;100830,00
Israel;ISR;21640,00
Italy;ITA;297730,00
Jamaica;JAM;10830,00
